country,ISO Country code,population,id,surface area (Km2),Score,GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),GDP (billions PPP),GDP per capita (PPP),GDP growth(annual %),health expenditure % of GDP,health expenditure per person,education expenditure % of GDP,education expenditure per person ,school life expectancy (YEARS),unemployment (%),government spending score,government expenditure (% of GDP),political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,property rights score,tax burden score,overall economic freedom score,financial freedom score,women MPs (% of all MPs)
Djibouti,DJI,"1,000,000",262,"23,180",0.291341817518923,40.9,16.4,0.476,,,3.3,3370.0,6.5,4.4,147.0,,,6.0,6.6,27.2,49.3,6,5,-0.71,-1.0,-0.6,-0.91,-0.64,13.8,29.0,19.0,69.8,45.1,50.0,10.8
Dominica,DMA,"100,000",212,751,0.6026711185308847,,,0.715,,,0.8,11375.0,-4.3,5.4,586.0,,,,,64.8,34.2,1,1,1.04,-0.3,0.1,0.65,0.65,69.2,49.9,48.6,72.9,64.5,30.0,25.0
Dominican Republic,DOM,"11,000,000",214,"48,320",0.5252590739099495,47.1,30.3,0.736,5.61,48.1,161.8,16050.0,7.0,6.2,873.0,,,13.0,14.4,90.6,17.7,3,3,0.16,-0.4,-0.1,-0.42,-0.74,23.1,26.2,51.7,84.6,61.6,40.0,26.8
Ecuador,ECU,"17,000,000",218,"276,841",0.5875744421626362,45.9,37.0,0.752,5.84,48.1,183.6,11109.0,0.0,6.8,980.0,,,15.0,5.4,52.5,39.8,3,3,-0.1,-0.3,-1.0,-0.7,-0.6,23.3,30.2,36.7,79.4,48.5,40.0,38.0
Egypt,EGY,"98,000,000",818,"995,450",0.46770318708293185,31.8,23.8,0.696,3.93,43.1,1132.4,12554.0,4.2,7.3,495.0,,,13.0,12.0,65.1,34.1,6,6,-1.42,-0.6,-0.9,-0.53,-0.54,52.5,32.2,32.7,84.2,53.4,50.0,14.9
El Salvador,SLV,"6,000,000",222,"20,721",0.6191456283379747,36.0,35.6,0.674,6.34,47.2,54.8,8909.0,2.4,10.3,578.0,3.4,124.0,13.0,6.3,86.3,21.3,2,3,-0.25,-0.4,-0.2,-0.86,-0.51,35.4,25.2,37.3,78.9,63.2,60.0,32.1
Equatorial Guinea,GNQ,"800,000",226,"28,051",0.39565943238731216,,,0.591,,,31.7,38639.0,-12.2,4.4,790.0,,,,7.3,61.0,36.1,7,7,-0.15,-1.4,-1.4,-1.49,-1.83,17.6,26.2,29.8,69.6,42.0,30.0,24.0
Eritrea,ERI,"5,000,000",232,"101,000",0.1435726210350584,,,0.44,,,9.2,1410.0,4.8,5.4,56.0,,,5.0,7.3,75.6,28.5,7,7,-0.66,-1.7,-2.2,-1.56,-1.2,13.8,23.4,35.5,79.9,41.7,20.0,22.0
Estonia,EST,"1,300,000",233,"42,388",0.6325636859023751,34.8,17.9,0.871,5.94,70.8,38.5,29313.0,1.1,6.2,1887.0,,,16.0,6.9,52.6,39.8,1,1,0.66,1.1,1.6,1.28,1.24,83.9,75.7,80.4,80.7,78.8,80.0,26.7
Eswatini,SWZ,"1,100,000",0,"17,204",0.26509686119150166,50.4,15.5,0.588,,,11.1,9776.0,1.7,7.0,,,,11.0,25.3,65.2,34.1,7,6,-0.3,-0.6,-0.6,-0.29,-0.3,35.3,26.9,55.3,74.8,55.9,40.0,6.2
Ethiopia,ETH,"105,000,000",231,"1,000,000",0.38062139391431715,33.0,26.7,0.463,4.18,32.3,177.5,1946.0,10.2,4.0,66.0,,,8.0,5.7,90.6,17.7,7,6,-1.69,-0.7,-1.0,-0.45,-0.56,37.6,37.7,31.1,76.5,52.8,20.0,38.8
Fiji,FJI,"900,000",242,"18,274",0.5607551603346619,,,0.741,,49.0,8.3,9268.0,4.3,3.6,331.0,,,,7.9,68.2,32.6,3,3,0.79,0.1,-0.2,-0.25,0.36,47.1,34.8,68.3,81.4,62.0,50.0,16.0
